Run,Accuracy,Loss
1,90.68,0.00033114953339099883
2,90.69,0.00033140004575252534
3,90.63,0.00033174091428518295
4,90.62,0.0003316582217812538
5,90.56,0.0003310548737645149
6,90.69,0.0003310667932033539
7,90.79,0.0003302258566021919
8,90.78,0.0003314043015241623
9,90.74,0.00033109425753355024
10,90.62,0.0003315624386072159
